"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.71462186561583e-37,0.888255694964898,0.993,0.914,2.35890448140884e-32,"S100A9"
1.54602405720419e-35,0.698837919024529,0.987,0.913,3.75405561570322e-31,"LYZ"
1.93444274087144e-34,1.05413684935668,0.762,0.492,4.69721386338404e-30,"FCN1"
1.84193447567342e-32,0.754724474369517,0.965,0.844,4.4725852938302e-28,"S100A8"
7.86610216272888e-31,0.607280176865879,0.985,0.911,1.91004692715383e-26,"CTSS"
6.98905919233531e-26,-0.669006697171506,0.994,0.996,1.69708335308286e-21,"SPP1"
6.94590815104283e-25,0.636525339401164,0.972,0.875,1.68660541723622e-20,"S100A4"
1.44587440889816e-24,0.812730381578709,0.792,0.553,3.5108722396865e-20,"MNDA"
2.17557585959342e-22,-0.984357388309616,0.833,0.903,5.28273330226475e-18,"PLIN2"
1.61355503720377e-21,-1.03741924004526,0.485,0.547,3.9180343413382e-17,"RAB13"
7.24390211558066e-21,1.17654548211932,0.381,0.167,1.7589643117053e-16,"LGALS2"
7.23179025871948e-20,0.760928765083595,0.584,0.378,1.75602331062227e-15,"S100A12"
7.58418519478847e-20,1.11904014406324,0.448,0.199,1.84159184899854e-15,"RIPOR2"
2.37203774372291e-19,0.860627596610989,0.704,0.408,5.75978204930797e-15,"MPEG1"
3.87556484103185e-19,-0.617432369101683,0.788,0.827,9.41064654699355e-15,"CTSL"
4.75092616614944e-19,-1.07726445912051,0.626,0.758,1.15361989166441e-14,"CXCL3"
5.32545478371344e-18,0.600357047474025,0.872,0.654,1.2931269305813e-13,"ZNF331"
8.11765632721772e-18,0.90105343230376,0.682,0.408,1.97112930937501e-13,"FGL2"
1.16323657957023e-17,-0.670792356338758,0.639,0.678,2.82457106251243e-13,"MIF"
1.95911881037443e-17,-0.690162818807221,0.52,0.621,4.75713229535118e-13,"GPNMB"
2.69256814282063e-17,-1.69350805895683,0.567,0.697,6.53809396439705e-13,"CCL20"
2.80243567287163e-17,-2.92927218541362,0.162,0.341,6.8048743008669e-13,"CXCL5"
6.24182245365199e-17,-1.84126645009916,0.169,0.315,1.51563932819578e-12,"TFPI"
1.99002862974573e-16,-0.573571245143719,0.838,0.89,4.83218751874857e-12,"ALOX5AP"
3.96156264582205e-16,-0.688777640511329,0.53,0.589,9.61946641658511e-12,"FABP5"
5.22259702641822e-16,-0.787099809550239,0.513,0.572,1.26815100995487e-11,"MARCO"
5.79618758548614e-16,-1.59699354432147,0.191,0.302,1.40743026950775e-11,"SCD"
