"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","8/123","40/18870",1.67197463178786e-10,2.41107716059434e-07,2.06096193953996e-07,"CTSS/CD74/HLA-DRA/CLEC4A/HLA-DMB/HLA-DRB1/HLA-DRB5/HLA-DPB1",8
"GO:0007159","leukocyte cell-cell adhesion","18/123","419/18870",2.48308667414453e-10,2.41107716059434e-07,2.06096193953996e-07,"S100A9/S100A8/RIPOR2/FGL2/CORO1A/VSIR/CD74/TNFSF13B/HLA-DRA/FLOT2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/ITGA4/HLA-DPB1/CCDC88B/CSK",18
"GO:0019884","antigen processing and presentation of exogenous antigen","8/123","49/18870",9.33702448514667e-10,4.7183472670559e-07,4.0331907638068e-07,"CTSS/CD74/HLA-DRA/CLEC4A/HLA-DMB/HLA-DRB1/HLA-DRB5/HLA-DPB1",8
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","7/123","31/18870",9.71853196098023e-10,4.7183472670559e-07,4.0331907638068e-07,"CTSS/CD74/HLA-DRA/HLA-DMB/HLA-DRB1/HLA-DRB5/HLA-DPB1",7
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","7/123","35/18870",2.4322776506158e-09,7.9000307843916e-07,6.7528584459784e-07,"CTSS/CD74/HLA-DRA/HLA-DMB/HLA-DRB1/HLA-DRB5/HLA-DPB1",7
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","14/123","275/18870",3.2749361737715e-09,7.9000307843916e-07,6.7528584459784e-07,"CORO1A/VSIR/CD74/TNFSF13B/HLA-DRA/FLOT2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/ITGA4/HLA-DPB1/CCDC88B/CSK",14
"GO:0002696","positive regulation of leukocyte activation","16/123","380/18870",3.56269500296799e-09,7.9000307843916e-07,6.7528584459784e-07,"CORO1A/VSIR/CD74/TNFSF13B/SPI1/HLA-DRA/FLOT2/LRRK2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/BST1/HLA-DPB1/CCDC88B/CSK",16
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","7/123","37/18870",3.68397845834352e-09,7.9000307843916e-07,6.7528584459784e-07,"CTSS/CD74/HLA-DRA/HLA-DMB/HLA-DRB1/HLA-DRB5/HLA-DPB1",7
"GO:1903037","regulation of leukocyte cell-cell adhesion","16/123","382/18870",3.83964787218306e-09,7.9000307843916e-07,6.7528584459784e-07,"RIPOR2/FGL2/CORO1A/VSIR/CD74/TNFSF13B/HLA-DRA/FLOT2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/ITGA4/HLA-DPB1/CCDC88B/CSK",16
"GO:0051251","positive regulation of lymphocyte activation","15/123","330/18870",4.06798701564964e-09,7.9000307843916e-07,6.7528584459784e-07,"CORO1A/VSIR/CD74/TNFSF13B/SPI1/HLA-DRA/FLOT2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/BST1/HLA-DPB1/CCDC88B/CSK",15
"GO:0050867","positive regulation of cell activation","16/123","396/18870",6.40379567997756e-09,1.13056101913786e-06,9.66390984432978e-07,"CORO1A/VSIR/CD74/TNFSF13B/SPI1/HLA-DRA/FLOT2/LRRK2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/BST1/HLA-DPB1/CCDC88B/CSK",16
