"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.43043583979983e-36,2.16140592296728,0.979,0.7,5.90158430620194e-32,"LYZ"
1.81608550385648e-32,3.22940988683978,0.746,0.181,4.4098188204643e-28,"FCER1A"
1.01542616515711e-25,2.35612044873741,0.739,0.293,2.46565781423451e-21,"FCGR2B"
5.03159542640147e-21,1.41985067995759,0.958,0.54,1.22177200143881e-16,"C1orf162"
5.62276407652333e-21,1.36234172081045,1,0.763,1.36531957306139e-16,"S100A4"
7.21033072402059e-19,1.72135598494241,0.817,0.322,1.75081250640668e-14,"JAML"
1.01315524686568e-18,1.28796258179679,0.725,0.225,2.46014357043925e-14,"PSTPIP2"
1.10105378112178e-17,2.13573002892293,0.592,0.218,2.67357879131991e-13,"AC020656.1"
3.56040253440179e-17,1.98586118558408,0.831,0.451,8.64536943403443e-13,"IFITM3"
1.26704496716626e-16,1.15554295770487,0.972,0.746,3.07663858927312e-12,"S100A6"
2.07344819425694e-16,1.34735201852741,0.866,0.434,5.03474690529469e-12,"HCST"
3.38132435916982e-15,1.00377448821742,0.937,0.622,8.21053180893616e-11,"S100A10"
9.06204801435813e-15,0.887872693007755,0.993,0.948,2.20044649884644e-10,"VIM"
1.12043025178841e-14,3.21819244262005,0.345,0.052,2.72062873739262e-10,"CD1E"
1.44678856046397e-14,0.945612351431165,1,0.932,3.51309198251862e-10,"HLA-DRB1"
9.42643225999036e-14,1.3345806877853,0.852,0.552,2.28892628137086e-09,"AREG"
9.98161148072419e-14,1.06231420904701,0.972,0.739,2.42373489974945e-09,"HLA-DQA1"
1.85837030905583e-13,1.69402005933087,0.754,0.31,4.51249478444937e-09,"PKIB"
2.97498538061437e-13,1.29198596223363,0.894,0.533,7.22385950120781e-09,"ANXA1"
3.41622963845545e-13,0.678249092831957,0.408,0.113,8.29528880809752e-09,"LGALS2"
8.34463733340849e-13,2.28439695635108,0.493,0.16,2.02624483729825e-08,"EREG"
2.73607807405279e-12,1.1446896625082,0.873,0.491,6.64374477941499e-08,"IL13RA1"
3.32216531515977e-12,1.20452158653697,0.817,0.399,8.06688181827094e-08,"FPR1"
3.81914788915013e-12,2.76133893789639,0.394,0.094,9.27365490443435e-08,"CD1C"
4.49738337962051e-12,2.00395520277391,0.577,0.228,1.09205463223945e-07,"CLEC5A"
5.16440820219726e-12,2.23655942586983,0.5,0.143,1.25402159965754e-07,"CST7"
9.18819198002211e-12,0.872468511182361,1,0.974,2.23107677658897e-07,"HLA-DRA"
9.69696890317744e-12,0.907871048810872,0.986,0.833,2.35461798906955e-07,"HLA-DQB1"
1.08824683403575e-11,1.72798742132462,0.613,0.232,2.6424809624056e-07,"IRAK3"
1.13158020617969e-11,1.07142848943936,0.838,0.582,2.74770305664553e-07,"IFITM2"
1.42792645833264e-11,1.92985807284067,0.697,0.34,3.46729102612331e-07,"INSIG1"
1.70509776603056e-11,2.2603183605815,0.415,0.148,4.1403183954754e-07,"MRC1"
4.53167870443931e-11,0.925993907765665,0.993,0.817,1.10038222301195e-06,"SH3BGRL3"
8.6573777524739e-11,1.07274599745114,0.93,0.624,2.10218446585571e-06,"MS4A6A"
