"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019884","antigen processing and presentation of exogenous antigen","16/334","49/18870",1.28039758667982e-16,5.18945141881332e-13,3.95979801017402e-13,"FCGR2B/CD1E/HLA-DRB1/HLA-DQA1/CD1C/HLA-DRA/HLA-DQB1/HLA-DPB1/CD1D/HLA-DPA1/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS/IFI30/HLA-DQA2",16
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","14/334","37/18870",9.5538619351531e-16,1.63147324819348e-12,1.24489160808562e-12,"FCGR2B/HLA-DRB1/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/THBS1/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS/IFI30/HLA-DQA2",14
"GO:0019882","antigen processing and presentation","21/334","116/18870",1.20760418075017e-15,1.63147324819348e-12,1.24489160808562e-12,"FCGR2B/CD1E/HLA-DRB1/HLA-DQA1/CD1C/HLA-DRA/HLA-DQB1/HLA-DPB1/CD1D/HLA-DPA1/THBS1/HLA-DRB5/CTSH/FGL2/HLA-DMA/HLA-DMB/CTSS/IFI30/LILRB2/HLA-DQA2/WAS",21
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","13/334","31/18870",2.05416528354853e-15,2.08138297355555e-12,1.58819410606989e-12,"FCGR2B/HLA-DRB1/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS/IFI30/HLA-DQA2",13
"GO:0007159","leukocyte cell-cell adhesion","36/334","419/18870",4.45245321425134e-15,3.10839226453561e-12,2.37185099359944e-12,"FCGR2B/HLA-DRB1/HLA-DQA1/ANXA1/HLA-DRA/HLA-DQB1/HLA-DPB1/CD1D/CEBPB/CD86/HLA-DPA1/HLA-DRB5/ALOX5/MSN/CD44/FGL2/ADAM8/KLF4/HLA-DMA/IL18/NR4A3/TNFSF13B/IL7R/HLA-DMB/IL2RG/CD4/IL1B/MAP3K8/OLR1/PRNP/RARA/ROCK1/LILRB2/HLA-DQA2/HAVCR2/ITGA5",36
"GO:0022407","regulation of cell-cell adhesion","39/334","493/18870",4.6016169719254e-15,3.10839226453561e-12,2.37185099359944e-12,"FCGR2B/HLA-DRB1/HLA-DQA1/ANXA1/HLA-DRA/HLA-DQB1/HLA-DPB1/CD1D/CEBPB/CD86/HLA-DPA1/HLA-DRB5/ALOX5/CD44/FGL2/ADAM8/KLF4/HLA-DMA/IL18/CD9/NR4A3/TNFSF13B/IL7R/HLA-DMB/VEGFA/IL2RG/CD4/SPINT2/IL1B/MAP3K8/PRNP/RARA/PLAUR/FXYD5/MYADM/LILRB2/HLA-DQA2/HAVCR2/EMILIN2",39
"GO:0045785","positive regulation of cell adhesion","38/334","482/18870",1.18229963019948e-14,6.84551485885499e-12,5.22345310304673e-12,"S100A10/HLA-DRB1/HLA-DQA1/ANXA1/HLA-DRA/HLA-DQB1/HLA-DPB1/CD1D/CD86/HLA-DPA1/LIMS1/HLA-DRB5/ALOX5/CD44/ADAM8/HLA-DMA/IL18/NR4A3/TNFSF13B/IL7R/HLA-DMB/VEGFA/IL2RG/CD4/IL1B/MAP3K8/RAC1/RARA/BRAF/CIB1/PLAUR/ROCK1/MYADM/LILRB2/HLA-DQA2/HAVCR2/EMILIN2/ITGA5",38
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","13/334","35/18870",1.37962380208878e-14,6.9895190873323e-12,5.333335171759e-12,"FCGR2B/HLA-DRB1/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS/IFI30/HLA-DQA2",13
"GO:0002399","MHC class II protein complex assembly","10/334","16/18870",1.92407577167322e-14,7.79827910259157e-12,5.95045749176413e-12,"HLA-DRB1/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DMA/HLA-DMB/HLA-DQA2",10
"GO:0002503","peptide antigen assembly with MHC class II protein complex","10/334","16/18870",1.92407577167322e-14,7.79827910259157e-12,5.95045749176413e-12,"HLA-DRB1/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DMA/HLA-DMB/HLA-DQA2",10
