"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050727","regulation of inflammatory response","10/80","425/18870",1.21902539983829e-05,0.0114858417396627,0.00984796577796797,"BST1/CARD16/S100A8/FGR/S100A9/CASP4/LYN/SOCS3/LILRA5/AHR",10
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","7/80","196/18870",1.96165838854914e-05,0.0114858417396627,0.00984796577796797,"CD36/CARD16/PRKCB/DHX15/CCDC22/S100A4/DDX21",7
"GO:0070486","leukocyte aggregation","3/80","13/18870",2.03529386999338e-05,0.0114858417396627,0.00984796577796797,"S100A8/S100A9/RAC2",3
"GO:0006909","phagocytosis","7/80","237/18870",6.5770418659942e-05,0.0278373296978204,0.0238677387715947,"CD36/ICAM3/FGR/LYN/LYAR/ARL8B/NCF2",7
"GO:0002886","regulation of myeloid leukocyte mediated immunity","4/80","59/18870",0.000114176001730653,0.0372418579812184,0.0319311854733734,"FGR/LYN/DDX21/RAC2",4
"GO:0043122","regulation of canonical NF-kappaB signal transduction","7/80","265/18870",0.000131985320665866,0.0372418579812184,0.0319311854733734,"CD36/CARD16/PRKCB/DHX15/CCDC22/S100A4/DDX21",7
"GO:0017157","regulation of exocytosis","6/80","190/18870",0.000155952796707279,0.0377182978322033,0.0323396852119304,"RAB3D/FGR/LYN/PRKCB/ANXA2/RAC2",6
"GO:1903305","regulation of regulated secretory pathway","5/80","127/18870",0.000204857723001112,0.0433530156301104,0.0371708947392808,"RAB3D/FGR/LYN/PRKCB/RAC2",5
"GO:0043304","regulation of mast cell degranulation","3/80","30/18870",0.000274296792130312,0.0477542343087595,0.0409445015772558,"FGR/LYN/RAC2",3
"GO:0007249","canonical NF-kappaB signal transduction","7/80","300/18870",0.000282068720075366,0.0477542343087595,0.0409445015772558,"CD36/CARD16/PRKCB/DHX15/CCDC22/S100A4/DDX21",7
