"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.99680562180511e-07,1.18923397851933,1,0.691,0.0118354337958076,"SLC1A2"
6.04893036879161e-07,2.48096184913535,0.741,0.16,0.0143274964715198,"OLIG2"
1.96550463158685e-06,1.36402157390695,0.926,0.383,0.0465549427037662,"FABP7"
2.75518155266056e-06,2.06243025496629,0.704,0.173,0.0652592302563179,"ASGR1"
3.34472102014238e-06,1.40032148520431,0.963,0.568,0.0792230620830924,"FGFR2"
7.40761266152258e-06,4.30751964435592,0.407,0.012,0.175456713500824,"SLC16A11"
9.02009768866484e-06,2.05736241505247,0.741,0.259,0.213650033853715,"RDH5"
9.05019646535385e-06,1.6079680017393,0.815,0.296,0.214362953478371,"HS6ST2"
1.25914762989772e-05,-1.57899164905649,0.407,0.79,0.298241707617573,"GPR124"
1.70975619738782e-05,1.64028129962493,0.889,0.383,0.40497285291328,"OLIG1"
1.79751471291923e-05,0.984821012666665,1,0.741,0.42575933490205,"TUBB2B"
1.96115547571874e-05,-1.51231752846509,0.37,0.778,0.46451928597874,"CP"
2.1242752190458e-05,1.43340645529972,0.852,0.284,0.503155828383188,"PRRT2"
2.46319726147179e-05,0.947745483613231,0.963,0.926,0.583432903352209,"MYO10"
2.7089246290073e-05,1.87557057515128,0.815,0.358,0.641635887626668,"PTPRE"
2.93972592274626e-05,0.746610789480534,1,0.741,0.69630348206168,"HEPN1"
3.12362255513125e-05,-4.32408508531962,0.074,0.494,0.739861238408387,"CDH19"
3.18123123538672e-05,-6.30083725433328,0,0.284,0.753506430413698,"LUM"
3.198172089916e-05,1.34167909237282,0.926,0.506,0.757519041217503,"HEPACAM"
3.38513296171043e-05,-1.24201036486914,0.63,0.84,0.801802593310732,"ATP1B1"
3.53351397899424e-05,-5.06547582655198,0.037,0.457,0.836948121064576,"COL12A1"
4.01832177835092e-05,-3.44403486015985,0.074,0.494,0.9517796964202,"SOX10"
7.21687770119647e-05,-3.60997822162558,0.037,0.469,1,"C14orf180"
7.56968890251846e-05,-1.94983380545903,0.333,0.593,1,"PTPN7"
8.03266921682307e-05,-2.04367402391483,0.296,0.605,1,"NXPH4"
9.16343770755154e-05,1.85054208118984,0.63,0.21,1,"ASCL1"
9.59655613054778e-05,2.08910619801459,0.444,0.21,1,"LIPG"
9.78040208958217e-05,1.43040255607661,0.815,0.321,1,"KNDC1"
9.96013003983064e-05,-2.96952708942449,0.185,0.543,1,"KIF26A"
0.000107861053850699,-3.74243474954787,0.074,0.407,1,"PDZD4"
0.000112042345453837,-0.609929637840239,0.852,0.852,1,"IFITM3"
0.000112506442050387,-2.75407368499509,0.111,0.457,1,"TGFBR3"
0.000129955068158128,-1.66796085188567,0.222,0.667,1,"L1CAM"
0.000138819222902243,-2.04495757364794,0.185,0.543,1,"ITGA6"
0.000193847757633084,2.20691789016238,0.519,0.111,1,"AMZ1"
0.000202915246717314,2.07567747409032,0.556,0.123,1,"SHROOM2"
0.000205178616486714,-2.23788134874742,0.074,0.37,1,"FAM222A-AS1"
0.000222357661910438,1.5603867475832,0.926,0.654,1,"DPYSL5"
0.000235756061292687,-3.82267519231711,0.037,0.358,1,"CNRIP1"
0.000261085970048024,-5.89752820852942,0,0.284,1,"NDUFA4L2"
0.00026674256509443,1.24808432907978,0.889,0.444,1,"BCAN"
0.00028263049973016,1.6873873633615,0.556,0.136,1,"SERPINI2"
0.000305917144574458,-1.78753512777371,0.111,0.457,1,"MIA"
