"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051092","positive regulation of NF-kappaB transcription factor activity","2/3","150/18870",0.000187327258431727,0.0144565410147047,0.00255474793191093,"S100A8/CARD16",2
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/3","163/18870",0.000221220560610786,0.0144565410147047,0.00255474793191093,"S100A8/CARD16",2
"GO:2000116","regulation of cysteine-type endopeptidase activity","2/3","195/18870",0.000316566591562876,0.0144565410147047,0.00255474793191093,"S100A8/CARD16",2
"GO:0051091","positive regulation of DNA-binding transcription factor activity","2/3","244/18870",0.000495298611015202,0.0169639774272707,0.00299786001403938,"S100A8/CARD16",2
"GO:0052548","regulation of endopeptidase activity","2/3","288/18870",0.000689388217777752,0.017074761377735,0.00301743766183561,"S100A8/CARD16",2
"GO:0052547","regulation of peptidase activity","2/3","312/18870",0.000808597242516438,0.017074761377735,0.00301743766183561,"S100A8/CARD16",2
"GO:0032496","response to lipopolysaccharide","2/3","348/18870",0.00100500238868175,0.017074761377735,0.00301743766183561,"S100A8/CARD16",2
"GO:0002237","response to molecule of bacterial origin","2/3","369/18870",0.00112929187623219,0.017074761377735,0.00301743766183561,"S100A8/CARD16",2
"GO:0050900","leukocyte migration","2/3","396/18870",0.00129958395054535,0.017074761377735,0.00301743766183561,"GCNT1/S100A8",2
"GO:0051090","regulation of DNA-binding transcription factor activity","2/3","406/18870",0.00136564390317525,0.017074761377735,0.00301743766183561,"S100A8/CARD16",2
"GO:0007159","leukocyte cell-cell adhesion","2/3","419/18870",0.00145393267575621,0.017074761377735,0.00301743766183561,"GCNT1/S100A8",2
"GO:0050727","regulation of inflammatory response","2/3","425/18870",0.00149559953673591,0.017074761377735,0.00301743766183561,"S100A8/CARD16",2
"GO:0051238","sequestering of metal ion","1/3","12/18870",0.00190667816130907,0.0188645211305992,0.00333372252019809,"S100A8",1
"GO:0070486","leukocyte aggregation","1/3","13/18870",0.00206545851794881,0.0188645211305992,0.00333372252019809,"S100A8",1
"GO:1903238","positive regulation of leukocyte tethering or rolling","1/3","13/18870",0.00206545851794881,0.0188645211305992,0.00333372252019809,"GCNT1",1
"GO:0031665","negative regulation of lipopolysaccharide-mediated signaling pathway","1/3","14/18870",0.0022242220341202,0.0190449011671543,0.00336559913057662,"CARD16",1
"GO:0017014","protein nitrosylation","1/3","16/18870",0.00254169854863062,0.0193451500645775,0.0034186588665792,"S100A8",1
"GO:0018119","peptidyl-cysteine S-nitrosylation","1/3","16/18870",0.00254169854863062,0.0193451500645775,0.0034186588665792,"S100A8",1
"GO:1903236","regulation of leukocyte tethering or rolling","1/3","18/18870",0.00285910771198417,0.0196874678272291,0.00347915297753568,"GCNT1",1
"GO:0002523","leukocyte migration involved in inflammatory response","1/3","19/18870",0.0030177870392103,0.0196874678272291,0.00347915297753568,"S100A8",1
